,,model,group,stimulus,parsed_sent,sent,human_judgment,,tregex_judgment
0,160,human,agreement_emb-subj-long,%% insist that the jury %% have %%.,(S (NP (DT The) (NNS lawyers)) (VP (VBP insist) (SBAR (IN that) (S (NP (DT the) (NN jury)) (VP (MD will) (VP (VB have) (S (VP (TO to) (VP (VB come) (PP (TO to) (NP (DT a) (JJ unanimous) (NN decision))) (PP (IN by) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN week))))))))))))) (. .)),The lawyers insist that the jury will have to come to a unanimous decision by the end of the week.,1,,1
1,159,human,agreement_emb-subj-long,%% insist that the jury %% have %%.,(S (NP (PRP I)) (VP (MD must) (VP (VB insist) (SBAR (IN that) (S (NP (DT the) (NN jury)) (VP (VB continue) (S (VP (TO to) (VP (VB deliberate)))) (SBAR (IN until) (S (NP (PRP they)) (VP (VBP have) (VP (VBN reached) (NP (DT a) (NN verdict))))))))))) (. .)),I must insist that the jury continue to deliberate until they have reached a verdict.,1,,1
2,363,human,agreement_emb-subj-long,%% confirm that the policies %% has %%.,(S (NP (DT The) (NNS bosses)) (VP (VBP confirm) (SBAR (IN that) (S (NP (NP (DT the) (NNS policies)) (SBAR (S (NP (DT the) (NN manager)) (VP (VBZ has) (VP (VBN made)))))) (VP (VBD were) (VP (VBN revoked)))))) (. .)),The bosses confirm that the policies the manager has made were revoked.,1,,1
3,424,human,agreement_emb-subj-long,%% confirm that the policies %% has %%.,(S (NP (DT The) (JJ ecenomic) (NN downtown)) (VP (VP (VBP confirm) (SBAR (IN that) (S (NP (DT the) (NNS policies)) (VP (VBD were) (ADJP (JJ wrong)))))) (CC and) (VP (VBZ has) (VP (VBN resulted) (PP (IN in) (NP (DT a) (NN recession)))))) (. .)),The ecenomic downtown confirm that the policies were wrong and has resulted in a recession.,1,,1
4,306,human,agreement_subj-long,The paintings that the artist gave to %% is %%.,(S (NP (NP (DT The) (NNS paintings)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN artist)) (VP (VBD gave) (PP (TO to) (NP (DT the) (NN gallery))))))) (VP (VBP are) (ADJP (JJ dark) (PP (IN in) (NP (NN nature)))) (SBAR (IN because) (S (NP (PRP he)) (VP (VBZ is) (NP (DT a) (ADJP (RB very) (JJ depressed)) (NN individual)))))) (. .)),The paintings that the artist gave to the gallery are dark in nature because he is a very depressed individual.,1,,1
5,110,human,agreement_subj-long,The paintings that the artist gave to %% is %%.,(S (NP (NP (DT The) (NNS paintings)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN artist)) (VP (VBD gave) (PP (TO to) (NP (PRP$ his) (NN mother))))))) (VP (VBP are) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (VBN called) (S (NP (DT an) (NN investment) (NN piece)))))))) (. .)),The paintings that the artist gave to his mother are what is called an investment piece.,1,,1
6,459,human,agreement_subj-long,The designer that the team hired %% have %%.,(S (NP (NP (DT The) (NN designer)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN team)) (VP (VBD hired) (ADVP (RB just) (RB now)))))) (VP (VBP have) (VP (VBN been) (VP (VBN arrested)))) (. .)),The designer that the team hired just now have been arrested.,0,,0
7,206,human,agreement_subj-long,The designer that the team hired %% have %%.,(S (NP (NP (DT The) (NN designer)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN team)) (VP (VBD hired))))) (VP (VB need) (S (VP (TO to) (VP (VB have) (NP (JJ good) (NNS skills)))))) (. .)),The designer that the team hired need to have good skills.,1,,1
8,441,human,agreement_subj-with-coord,The bike and %% has %%.,(S (S (NP (DT The) (NN bike) (CC and) (NN chain)) (VP (VBP are) (ADJP (JJ cool)))) (CC and) (S (NP (DT the) (NN wheel)) (VP (VBZ has) (NP (DT a) (NN pump)))) (. .)),The bike and chain are cool and the wheel has a pump.,1,,1
9,498,human,agreement_subj-with-coord,The bike and %% has %%.,(S (NP (DT The) (NN bike) (CC and) (NN motorcycle)) (VP (VBD were) (VP (VBG sitting) (PP (IN in) (NP (NP (DT the) (NN garage)) (PP (IN of) (NP (NP (DT the) (NN house)) (SBAR (WHNP (WDT that)) (S (VP (VBZ has) (NP (DT the) (JJ blue) (VBN painted) (NN porch))))))))))) (. .)),The bike and motorcycle were sitting in the garage of the house that has the blue painted porch.,1,,1
10,60,human,agreement_subj-with-coord,The style and %% has %%.,(S (NP (NP (DT The) (NN style) (CC and) (NN quality)) (PP (IN of) (NP (DT the) (NN clothing) (NN line)))) (VP (VBZ has) (VP (VBN increased) (NP (DT a) (NN lot)))) (. .)),The style and quality of the clothing line has increased a lot.,0,,0
11,85,human,agreement_subj-with-coord,The style and %% has %%.,(S (NP (DT The) (NN style) (CC and) (NN color)) (VP (VBZ has) (NP (NN promise))) (. .)),The style and color has promise.,0,,0
12,274,human,agreement_subj-with-PP,The museums in %% is %%.,"(S (S (NP (NP (DT The) (NNS museums)) (PP (IN in) (NP (NNP Paris)))) (VP (VBP are) (ADJP (JJ great)))) (, ,) (CC and) (S (NP (CD one)) (VP (VBZ is) (ADJP (RB especially) (JJ famous)))) (. .))","The museums in Paris are great, and one is especially famous.",1,,1
13,421,human,agreement_subj-with-PP,The museums in %% is %%.,(S (NP (NP (DT The) (NNS museums)) (PP (IN in) (NP (NNP California)))) (VP (VBP are) (VP (VBN closed) (SBAR (IN because) (S (NP (NP (PRP it))) (VP (VBZ is) (ADJP (JJ dangerous)) (SBAR (IN for) (S (NP (NNS people)) (VP (TO to) (VP (VB be) (VP (VBN gathered) (PP (IN in) (NP (NNS groups))))))))))))) (. .)),The museums in California are closed because it is dangerous for people to be gathered in groups.,1,,1
14,488,human,agreement_subj-with-PP,The mayor of %% are %%.,(S (NP (NP (NP (DT The) (NN mayor)) (PP (IN of) (NP (NNP Smallville)))) (CC and) (NP (NP (JJ other) (NNS mayors)) (PP (IN in) (NP (VBG surrounding) (NNS towns))))) (VP (VBP are) (PP (IN in) (NP (NN trouble)))) (. .)),The mayor of Smallville and other mayors in surrounding towns are in trouble.,1,,1
15,35,human,agreement_subj-with-PP,The mayor of %% are %%.,(S (S (NP (NP (DT The) (NN mayor)) (PP (IN of) (NP (NNP Stumptown)))) (VP (VBD came))) (CC and) (S (NP (PRP$ their) (NNS parents)) (VP (VBP are) (VP (VBG waiting)))) (. .)),The mayor of Stumptown came and their parents are waiting.,1,,1
