same true
senior recent
legal difficult
many inevitable
chief good
rare traditional
big persuasive
young simple
new normal
similar little
few serious
current old
big difficult
economic hard
good happy
public enough
cold hot
popular local
high strong
entire new
private major
particular many
small important
central special
poor rich
easy wrong
sweet large
obvious such
ancient modern
famous late
effective social
great musical
difficult impossible
able full
guilty innocent
wide personal
necessary international
safe comfortable
initial common
tough fair
